SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
3002_000.4,4.0,0.49,0.29,0.57,0.45,0.27,0.53,0.37,0.23,0.47
3002_000.9,4.0,0.58,0.48,0.69,0.53,0.44,0.63,0.44,0.38,0.57
3004_000.4,4.0,0.16,0.13,0.21,0.15,0.12,0.19,0.12,0.1,0.17
3004_000.9,3.0,0.96,0.75,1.09,0.91,0.69,1.07,0.76,0.6,0.96
3004_001.1,3.0,0.89,0.75,0.99,0.82,0.69,0.94,0.68,0.6,0.85
3004_002.1,3.0,0.64,0.5,1.08,0.59,0.46,1.06,0.49,0.4,0.98
3004_002.3,3.0,0.57,0.47,1.11,0.53,0.43,1.08,0.44,0.37,1.0
3004_002.5,3.0,0.64,0.57,0.84,0.59,0.53,0.77,0.49,0.45,0.71
3004_003.2,3.0,0.5,0.43,0.59,0.46,0.4,0.54,0.38,0.34,0.5
3004_003.3,4.0,0.38,0.32,0.49,0.35,0.29,0.45,0.29,0.25,0.42
3004_003.5,4.0,0.28,0.25,0.4,0.26,0.23,0.36,0.21,0.2,0.34
3004_004.2,5.0,0.5,0.4,0.61,0.46,0.36,0.56,0.38,0.31,0.51
3006_000.4,2.0,0.86,0.79,1.06,0.8,0.73,1.04,0.66,0.63,0.93
3006_000.8,2.0,0.82,0.76,0.94,0.75,0.7,0.9,0.62,0.6,0.83
3006_001.6,2.0,0.81,0.76,0.94,0.74,0.7,0.89,0.61,0.59,0.82
3006_001.9,2.0,0.57,0.61,0.81,0.53,0.56,0.75,0.44,0.48,0.69
3007_000.0,4.0,0.44,0.33,0.51,0.41,0.31,0.47,0.34,0.27,0.42
3008_000.0,4.0,0.51,0.33,0.67,0.47,0.3,0.62,0.39,0.26,0.57
3008_000.6,4.0,0.98,0.73,1.56,0.95,0.67,1.53,0.79,0.57,1.41
3008_001.0,4.0,0.97,0.67,1.2,0.92,0.61,1.17,0.76,0.52,1.08
3008_001.3,4.0,0.72,0.63,0.97,0.66,0.58,0.92,0.55,0.49,0.85
3008_001.5,4.0,0.7,0.55,0.89,0.65,0.5,0.82,0.54,0.43,0.75
3010_000.0,4.0,0.11,0.09,0.51,0.1,0.08,0.47,0.08,0.07,0.42
3011_000.0,4.0,0.07,0.05,0.17,0.06,0.05,0.15,0.05,0.04,0.14
3012_000.0,4.0,0.11,0.09,0.47,0.1,0.09,0.43,0.08,0.08,0.39
3012_000.5,4.0,0.31,0.27,0.89,0.29,0.25,0.82,0.24,0.21,0.75
3012_001.1,4.0,0.41,0.38,0.61,0.38,0.35,0.56,0.31,0.3,0.51
3012_001.3,4.0,1.35,1.14,2.41,1.32,1.12,2.36,1.09,0.95,2.18
3012_001.5,4.0,0.51,0.45,0.56,0.47,0.41,0.51,0.39,0.35,0.47
3014_000.0,4.0,0.43,0.32,0.63,0.4,0.3,0.58,0.33,0.25,0.53
3014_001.2,3.0,0.83,0.64,1.01,0.76,0.59,0.98,0.63,0.5,0.9
3014_001.4,3.0,0.57,0.53,0.89,0.52,0.48,0.81,0.43,0.41,0.75
3015_000.0,3.0,0.5,0.24,0.62,0.46,0.22,0.57,0.38,0.19,0.53
3015_000.9,3.0,1.39,0.44,1.05,1.37,0.41,1.03,1.13,0.35,0.95
3015_001.4,3.0,1.21,0.38,0.9,1.19,0.35,0.85,0.98,0.3,0.79
3015_001.9,3.0,0.73,0.51,0.97,0.67,0.47,0.92,0.56,0.4,0.85
3015_002.4,3.0,0.71,0.68,0.99,0.65,0.63,0.96,0.54,0.54,0.88
3015_003.0,3.0,0.96,0.83,1.23,0.91,0.76,1.21,0.75,0.65,1.11
3015_003.5,3.0,0.75,0.65,1.01,0.69,0.6,0.98,0.57,0.51,0.9
3017_000.0,5.0,0.3,0.24,0.35,0.27,0.22,0.32,0.23,0.19,0.3
3020_000.0,3.0,0.55,0.4,0.59,0.5,0.37,0.54,0.42,0.31,0.5
3020_000.3,3.0,0.57,0.44,0.65,0.53,0.41,0.6,0.44,0.35,0.55
3020_000.6,3.0,0.84,0.57,0.9,0.77,0.52,0.85,0.64,0.44,0.79
3020_001.2,3.0,1.21,0.67,1.21,1.19,0.61,1.19,0.98,0.52,1.1
3020_001.4,3.0,1.11,0.71,1.18,1.09,0.66,1.16,0.9,0.56,1.07
3020_001.7,3.0,0.74,0.77,1.09,0.68,0.71,1.06,0.56,0.6,0.98
3020_001.9,3.0,0.82,0.8,1.16,0.75,0.74,1.14,0.62,0.63,1.05
3020_002.2,3.0,0.93,0.8,1.08,0.89,0.74,1.06,0.73,0.63,0.98
3020_002.4,3.0,0.85,0.78,0.99,0.78,0.71,0.96,0.64,0.61,0.89
3020_002.6,3.0,0.86,0.76,1.08,0.79,0.7,1.06,0.66,0.6,0.98
3020_002.7,3.0,0.59,0.47,0.58,0.54,0.43,0.53,0.45,0.37,0.49
3020_003.2,3.0,0.79,0.63,0.79,0.73,0.58,0.72,0.6,0.49,0.67
3020_003.3,3.0,0.7,0.62,0.84,0.64,0.57,0.78,0.53,0.49,0.72
3020_003.5,3.0,0.66,0.54,0.78,0.6,0.5,0.72,0.5,0.43,0.67
3022_000.0,3.0,0.77,0.47,0.66,0.71,0.43,0.61,0.58,0.37,0.56
3022_000.1,3.0,0.92,0.48,0.81,0.88,0.44,0.74,0.73,0.37,0.69
3022_000.4,3.0,0.44,0.36,0.53,0.41,0.33,0.49,0.34,0.28,0.45
3024_000.3,4.0,0.56,0.6,0.83,0.51,0.55,0.76,0.42,0.47,0.7
3024_000.5,4.0,0.35,0.24,0.42,0.32,0.22,0.39,0.27,0.19,0.36
3024_000.7,4.0,0.24,0.16,0.36,0.22,0.15,0.33,0.18,0.13,0.3
3026_000.0,5.0,0.13,0.12,0.18,0.12,0.11,0.17,0.1,0.09,0.16
3026_001.2,5.0,0.18,0.12,0.21,0.16,0.11,0.19,0.13,0.09,0.18
3030_000.0,4.0,0.54,0.43,0.81,0.5,0.39,0.74,0.41,0.33,0.69
