SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0015_265.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7324,17379,19510,20102,1.04,1.17,1.2
0015_265.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7324,23470,24713,25284,1.22,1.29,1.31
0015_266.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7324,18917,21003,21597,1.2,1.34,1.36
0015_266.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7324,18339,20587,21110,1.1,1.24,1.26
0015_266.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7324,24764,26076,26679,1.29,1.36,1.38
0015_267.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7324,18917,21003,21597,1.2,1.34,1.36
0015_267.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7324,18339,20587,21110,1.1,1.24,1.26
0015_267.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7324,24764,26076,26679,1.29,1.36,1.38
0015_267.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7324,18917,21003,21597,1.2,1.34,1.36
0015_267.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7324,18339,20587,21110,1.1,1.24,1.26
